20 июл. 2026 19:02:36,873 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1946680173
20 июл. 2026 19:02:36,914 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@141153314
20 июл. 2026 19:02:36,914 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1168511377
20 июл. 2026 19:02:36,914 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1891332043
20 июл. 2026 19:02:36,914 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@254230346
20 июл. 2026 19:02:36,914 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@500416444
20 июл. 2026 19:02:36,914 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@660673571
20 июл. 2026 19:02:36,914 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1442403011
20 июл. 2026 19:02:39,207 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@813548630
20 июл. 2026 19:02:39,207 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1610149554
20 июл. 2026 19:02:39,207 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@238773758
20 июл. 2026 19:02:39,398 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@500416444
20 июл. 2026 19:02:39,398 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@920052537
20 июл. 2026 19:02:39,398 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1946680173
20 июл. 2026 19:02:39,398 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@835206467
20 июл. 2026 19:02:39,398 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1168511377
20 июл. 2026 19:02:39,398 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@141153314
20 июл. 2026 19:02:39,398 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1442403011
20 июл. 2026 19:02:39,398 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@660673571
20 июл. 2026 19:02:39,398 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@128519351
20 июл. 2026 19:02:39,398 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@254230346
20 июл. 2026 19:02:39,398 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1891332043
20 июл. 2026 19:02:39,424 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1032292669
20 июл. 2026 19:02:39,427 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@707163212
20 июл. 2026 19:02:39,701 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1906535634
20 июл. 2026 19:02:39,719 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1032292669
20 июл. 2026 19:02:39,719 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@707163212
